"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","gRPC","5","0","Currency","0"
"2","","3","Авторизация и Регистрация","0","0","Сценарии входа и выхода из системы","0"
"1","","10","","28","0","","0"
"0","","0","SOAP","4","0","Userdata","0"
"0","","2","Интеграция с Базой Данных","0","0","Управление категориями","0"
"0","","0","Kafka","1","0","Message structure","0"
"0","","2","Профиль пользователя","0","0","Управление категориями","0"
"0","","1","Kafka","0","0","Registration event","0"
"0","","0","Kafka","1","0","Topics","0"
